AmbulanceR;BikeInjury;CrashID;CrashYear;SpeedLimit;TraffCntrl;Weather
Yes;B: Suspected Minor Injury;101878313;2007;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;101885911;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;101886055;2007;20 - 25  MPH;No Control Present;Cloudy
Yes;C: Possible Injury;101890155;2007;30 - 35  MPH;No Control Present;Cloudy
Yes;B: Suspected Minor Injury;101899756;2007;30 - 35  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;101900655;2007;30 - 35  MPH;Stop And Go Signal;Clear
No;A: Suspected Serious Injury;101905904;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;101906964;2007;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;101907449;2007;Unknown;No Control Present;Cloudy
No;B: Suspected Minor Injury;101916355;2007;30 - 35  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;101919887;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101927990;2007;40 - 45  MPH;No Control Present;Clear
No;C: Possible Injury;101928787;2007;50 - 55  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;101928988;2007;30 - 35  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;101930312;2007;20 - 25  MPH;No Control Present;Clear
Yes;C: Possible Injury;101930314;2007;30 - 35  MPH;No Control Present;Rain
Yes;A: Suspected Serious Injury;101930856;2007;50 - 55  MPH;No Control Present;Clear
No;C: Possible Injury;101931057;2007;50 - 55  MPH;No Control Present;Cloudy
No;C: Possible Injury;101931441;2007;20 - 25  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;101932125;2007;Unknown;No Control Present;Clear
Yes;B: Suspected Minor Injury;101932468;2007;40 - 45  MPH;No Control Present;Clear
No;C: Possible Injury;101932481;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101933243;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101934014;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;101934242;2007;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;101934282;2007;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;A: Suspected Serious Injury;101934837;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;101934858;2007;40 - 45  MPH;No Control Present;Clear
Yes;K: Killed;101935110;2007;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;101936110;2007;40 - 45  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;101937130;2007;40 - 45  MPH;Stop And Go Signal;Clear
Yes;A: Suspected Serious Injury;101937241;2007;20 - 25  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101937416;2007;40 - 45  MPH;No Control Present;Clear
No;Unknown Injury;101937644;2007;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;101938218;2007;20 - 25  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101938786;2007;40 - 45  MPH;Stop And Go Signal;Cloudy
Yes;B: Suspected Minor Injury;101939056;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101939071;2007;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;101939090;2007;Unknown;No Control Present;Clear
Yes;C: Possible Injury;101940846;2007;50 - 55  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101940857;2007;50 - 55  MPH;Stop Sign;Clear
Yes;K: Killed;101941069;2007;60 - 75 MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101941148;2007;20 - 25  MPH;No Control Present;Clear
Yes;C: Possible Injury;101941442;2007;40 - 45  MPH;No Control Present;Clear
No;O: No Injury;101941786;2007;20 - 25  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;101942732;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;101943002;2007;30 - 35  MPH;Stop And Go Signal;Cloudy
Yes;C: Possible Injury;101944217;2007;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;101944233;2007;5 - 15 MPH;Stop Sign;Clear
No;O: No Injury;101944338;2007;20 - 25  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;101944564;2007;50 - 55  MPH;No Control Present;Clear
No;Unknown Injury;101944739;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101945121;2007;50 - 55  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;101945860;2007;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;101946576;2007;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;101946700;2007;20 - 25  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;101947174;2007;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;101947678;2007;50 - 55  MPH;No Control Present;Clear
Yes;C: Possible Injury;101947877;2007;30 - 35  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;101947973;2007;20 - 25  MPH;Stop Sign;Clear
No;B: Suspected Minor Injury;101949052;2007;20 - 25  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;101952840;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;101953229;2007;Unknown;Stop Sign;Cloudy
Yes;B: Suspected Minor Injury;101954597;2007;30 - 35  MPH;Stop Sign;Clear
No;Unknown Injury;101954647;2007;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;101954722;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101956574;2007;50 - 55  MPH;No Control Present;Clear
Yes;C: Possible Injury;101956609;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;101958799;2007;30 - 35  MPH;Stop Sign;Clear
No;C: Possible Injury;101958811;2007;40 - 45  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;101958996;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101959699;2007;40 - 45  MPH;Stop And Go Signal;Rain
No;C: Possible Injury;101960382;2007;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;101961795;2007;50 - 55  MPH;No Control Present;Clear
No;O: No Injury;101962853;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;A: Suspected Serious Injury;101963271;2007;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;101964668;2007;50 - 55  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;101964874;2007;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;101965439;2007;20 - 25  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101965799;2007;20 - 25  MPH;No Control Present;Cloudy
Yes;B: Suspected Minor Injury;101965809;2007;50 - 55  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;101965963;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101967081;2007;30 - 35  MPH;Stop Sign;Clear
No;O: No Injury;101967253;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101968099;2007;30 - 35  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;101968160;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;101968833;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101968854;2007;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;101969102;2007;50 - 55  MPH;Stop And Go Signal;Clear
No;B: Suspected Minor Injury;101969459;2007;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;101970989;2007;40 - 45  MPH;No Control Present;Clear
No;C: Possible Injury;101971084;2007;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;101971311;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;101971899;2007;40 - 45  MPH;No Control Present;Clear
No;C: Possible Injury;101971999;2007;Unknown;No Control Present;Clear
Yes;C: Possible Injury;101972582;2007;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;101972739;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;A: Suspected Serious Injury;101973839;2007;30 - 35  MPH;No Control Present;Cloudy
Yes;B: Suspected Minor Injury;101973934;2007;30 - 35  MPH;No Control Present;Cloudy
No;O: No Injury;101975141;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;101977025;2007;40 - 45  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;101977426;2007;50 - 55  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101977718;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;101978021;2007;20 - 25  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;101978304;2007;30 - 35  MPH;Stop And Go Signal;Cloudy
Yes;B: Suspected Minor Injury;101978323;2007;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;101978633;2007;30 - 35  MPH;Stop Sign;Clear
No;B: Suspected Minor Injury;101979889;2007;30 - 35  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;101979899;2007;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;101980111;2007;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;101980268;2007;30 - 35  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;101980822;2007;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;101981573;2007;50 - 55  MPH;Stop Sign;Clear
No;B: Suspected Minor Injury;101982316;2007;20 - 25  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;101982797;2007;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;101982901;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;101983126;2007;30 - 35  MPH;Stop Sign;Clear
Yes;A: Suspected Serious Injury;101983135;2007;30 - 35  MPH;No Control Present;Cloudy
Yes;B: Suspected Minor Injury;101983173;2007;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;101983188;2007;50 - 55  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101983397;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101983430;2007;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;101983899;2007;20 - 25  MPH;Stop And Go Signal;Clear
No;B: Suspected Minor Injury;101984470;2007;5 - 15 MPH;No Control Present;Clear
Yes;C: Possible Injury;101984707;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;A: Suspected Serious Injury;101984768;2007;40 - 45  MPH;No Control Present;Clear
No;C: Possible Injury;101985271;2007;50 - 55  MPH;Stop And Go Signal;Cloudy
Yes;B: Suspected Minor Injury;101985551;2007;40 - 45  MPH;Stop And Go Signal;Clear
No;O: No Injury;101985882;2007;30 - 35  MPH;Flashing Signal Without Stop Sign;Clear
Yes;A: Suspected Serious Injury;101986119;2007;20 - 25  MPH;Stop Sign;Clear
Yes;K: Killed;101986152;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
No;O: No Injury;101987104;2007;30 - 35  MPH;Stop Sign;Clear
No;C: Possible Injury;101987406;2007;20 - 25  MPH;Flashing Signal With Stop Sign;Clear
No;O: No Injury;101987765;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;101988107;2007;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;101988419;2007;20 - 25  MPH;Stop Sign;Clear
No;C: Possible Injury;101988604;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;101989112;2007;30 - 35  MPH;Stop Sign;Clear
No;B: Suspected Minor Injury;101989319;2007;20 - 25  MPH;Flashing Signal With Stop Sign;Clear
Yes;B: Suspected Minor Injury;101989460;2007;20 - 25  MPH;Stop Sign;Clear
No;C: Possible Injury;101989826;2007;30 - 35  MPH;No Control Present;Clear
Yes;K: Killed;101990368;2007;50 - 55  MPH;No Control Present;Clear
Yes;K: Killed;101990781;2007;30 - 35  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;101991167;2007;20 - 25  MPH;Stop Sign;Clear
No;B: Suspected Minor Injury;101991192;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101992788;2007;30 - 35  MPH;Stop Sign;Clear
Yes;A: Suspected Serious Injury;101992851;2007;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;101993071;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;O: No Injury;101993104;2007;Unknown;Stop And Go Signal;Clear
Yes;C: Possible Injury;101993234;2007;30 - 35  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;101993401;2007;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;101993467;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101993994;2007;50 - 55  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101994176;2007;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;101994232;2007;50 - 55  MPH;No Control Present;Clear
Yes;C: Possible Injury;101994407;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;101995190;2007;50 - 55  MPH;No Control Present;Clear
Yes;C: Possible Injury;101995583;2007;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;101995914;2007;40 - 45  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;101996468;2007;50 - 55  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;101996609;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;101997753;2007;30 - 35  MPH;Stop Sign;Clear
Yes;A: Suspected Serious Injury;101997791;2007;40 - 45  MPH;No Control Present;Clear
No;C: Possible Injury;101997899;2007;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;101997947;2007;Unknown;No Control Present;Clear
No;O: No Injury;101998522;2007;40 - 45  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;101998559;2007;40 - 45  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;101998579;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
No;C: Possible Injury;101998778;2007;20 - 25  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;101999273;2007;20 - 25  MPH;No Control Present;Clear
No;O: No Injury;101999335;2007;20 - 25  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;101999891;2007;20 - 25  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;101999953;2007;5 - 15 MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102000102;2007;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102000328;2007;30 - 35  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102001155;2007;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102001182;2007;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;102001306;2007;30 - 35  MPH;Stop Sign;Cloudy
Yes;B: Suspected Minor Injury;102001672;2007;30 - 35  MPH;No Control Present;Clear
No;O: No Injury;102002445;2007;5 - 15 MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;102002454;2007;50 - 55  MPH;Stop Sign;Clear
